,alcoholic,drink,glass,ingredients,ingredients_and_quantities,instructions
156,Alcoholic,Gin Lemon,Highball glass,"Ice, Lemon Peel, Lemon Juice, Gin, ","Ice - cubes, Lemon Peel - 1 Slice, Lemon Juice - 8 cl, Gin - 6 cl, ","For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served."
157,Alcoholic,Gin Sling,Old-fashioned glass,"Orange peel, Water, Powdered sugar, Lemon, Gin, ","Orange peel - Twist of , Water - 1 tsp , Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Gin - 2 oz , ",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
158,Alcoholic,Greyhound,Collins glass,"Grapefruit Juice, Vodka, ","Grapefruit Juice - 3 oz, Vodka - 1 1/2 oz, ","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

"
159,Alcoholic,Gin Rickey,Highball glass,"Lime, Soda Water, lemon, Grenadine, Gin, ","Lime - Garnish, Soda Water - Top up with, lemon - Juice of 1/2 , Grenadine - 1 tsp , Gin - 2 oz , ",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
160,Alcoholic,Gin Squirt,Highball glass,"Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin, ","Carbonated water, Strawberries - 2 , Pineapple - 3 chunks, Powdered sugar - 1 tblsp , Grenadine - 1 tsp , Gin - 1 1/2 oz , ","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
161,Alcoholic,Grand Blue,Old-fashioned glass,"Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum, ","Sweet and sour - 3 cl , Blue Curacao - 1 1/2 cl , Peach schnapps - 1 1/2 cl , Malibu rum - 1 1/2 cl , ",Serve in an old fashioned glass.
162,Alcoholic,Gin Cooler,Collins glass,"Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin, ","Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin - 2 oz , ",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
163,Alcoholic,Gin Swizzle,Highball glass,"Club soda, Bitters, Gin, Sugar, Lime juice, ","Club soda - 3 oz , Bitters - 1 dash , Gin - 2 oz , Sugar - 1 tsp superfine , Lime juice - 1 1/2 oz , ","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
164,Alcoholic,Grass Skirt,Old-fashioned glass,"Pineapple, Grenadine, Pineapple juice, Triple sec, Gin, ","Pineapple - 1 , Grenadine - 1/2 tsp , Pineapple juice - 1 oz , Triple sec - 1 oz , Gin - 1 1/2 oz , ","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
165,Alcoholic,Grasshopper,Cocktail glass,"Light cream, Creme de Cacao, Green Creme de Menthe, ","Light cream - 3/4 oz , Creme de Cacao - 3/4 oz white , Green Creme de Menthe - 3/4 oz , ",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
166,Alcoholic,Grim Reaper,Old-fashioned glass,"Grenadine, 151 proof rum, Kahlua, ","Grenadine - 1 dash , 151 proof rum - 1 oz Bacardi , Kahlua - 1 oz , ",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
167,Alcoholic,Gin and Soda,Highball glass,"Lime, Soda Water, Gin, ","Lime - 1/4, Soda Water - 5 oz, Gin - 2 oz, ","Pour the Gin and Soda water into a highball glass almost filled with ice cubes.

Stir well.

Garnish with the lime wedge."
168,Alcoholic,H.D.,Beer mug,"Coffee, Baileys irish cream, Whisky, ","Coffee, Baileys irish cream - 8 cl , Whisky - 4 cl , ",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
169,Alcoholic,Honey Bee,Margarita glass,"Lemon Juice, Honey, White Rum, ","Lemon Juice - 2 cl, Honey - 2 cl, White Rum - 6 cl, ","Shake ingredients with crushed ice

"
