Food,Parent,value
Calories,Lamb,244
Water,Lamb,57.4
Protein,Lamb,28
Fat,Lamb,14.6
Carbs,Lamb,0
Link,Lamb,https://www.mynetdiary.com/food/calories-in-roasted-lamb-oz-29712973-0.html
