Food,Parent,value
Calories,Roasted Turkey,130
Water,Roasted Turkey,70.81
Protein,Roasted Turkey,22.8
Fat,Roasted Turkey,6.39
Carbs,Roasted Turkey,0
Link,Roasted Turkey,https://www.mynetdiary.com/food/calories-in-roasted-turkey-oz-29713406-0.html
